fecha_consulta,origen,destino,fecha_salida,hora_salida,hora_llegada,duracion_minutos,escalas,aerolinea,numero_vuelo,clase,asientos_disponibles,precio_total,precio_base,impuestos,aeropuertos_escala,ruta_completa
2025-11-29 03:40:38,MAD,DPS,2026-07-08,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-29 03:40:43,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-29 03:40:53,MAD,DPS,2026-07-10,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-29 03:40:59,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-29 03:41:05,MAD,DPS,2026-07-12,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,882.41,478.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-29 03:41:10,BCN,DPS,2026-07-08,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,896.71,496.0,400.71,DXB,"BCN,DXB,DPS"
2025-11-29 03:41:16,BCN,DPS,2026-07-09,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,896.71,496.0,400.71,DXB,"BCN,DXB,DPS"
2025-11-29 03:41:27,BCN,DPS,2026-07-11,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,896.71,496.0,400.71,DXB,"BCN,DXB,DPS"
2025-11-29 03:41:32,BCN,DPS,2026-07-12,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,871.71,471.0,400.71,DXB,"BCN,DXB,DPS"
2025-11-29 08:23:41,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-29 08:23:47,MAD,DPS,2026-07-10,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-29 08:23:52,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-29 08:23:58,MAD,DPS,2026-07-12,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,882.41,478.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-29 08:24:18,BCN,DPS,2026-07-11,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,896.71,496.0,400.71,DXB,"BCN,DXB,DPS"
2025-11-29 08:24:23,BCN,DPS,2026-07-12,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,871.71,471.0,400.71,DXB,"BCN,DXB,DPS"
2025-11-30 08:22:45,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-30 08:22:51,MAD,DPS,2026-07-10,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-30 08:22:57,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-30 08:23:03,MAD,DPS,2026-07-12,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,882.41,478.0,404.41,DXB,"MAD,DXB,DPS"
2025-11-30 08:23:23,BCN,DPS,2026-07-11,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,896.71,496.0,400.71,DXB,"BCN,DXB,DPS"
2025-11-30 08:23:29,BCN,DPS,2026-07-12,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,871.71,471.0,400.71,DXB,"BCN,DXB,DPS"
2025-12-01 08:30:18,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-12-01 08:30:24,MAD,DPS,2026-07-10,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-12-01 08:30:30,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.41,503.0,404.41,DXB,"MAD,DXB,DPS"
2025-12-01 08:30:39,MAD,DPS,2026-07-12,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,882.41,478.0,404.41,DXB,"MAD,DXB,DPS"
2025-12-01 08:31:01,BCN,DPS,2026-07-11,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,896.71,496.0,400.71,DXB,"BCN,DXB,DPS"
2025-12-01 08:31:06,BCN,DPS,2026-07-12,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,871.71,471.0,400.71,DXB,"BCN,DXB,DPS"
2025-12-02 08:27:48,MAD,DPS,2026-07-08,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.39,503.0,404.39,DXB,"MAD,DXB,DPS"
2025-12-02 08:27:57,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.39,503.0,404.39,DXB,"MAD,DXB,DPS"
2025-12-02 08:28:04,MAD,DPS,2026-07-10,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.39,503.0,404.39,DXB,"MAD,DXB,DPS"
2025-12-02 08:28:11,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.39,503.0,404.39,DXB,"MAD,DXB,DPS"
2025-12-02 08:28:17,MAD,DPS,2026-07-12,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,882.39,478.0,404.39,DXB,"MAD,DXB,DPS"
2025-12-02 08:28:39,BCN,DPS,2026-07-11,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,896.69,496.0,400.69,DXB,"BCN,DXB,DPS"
2025-12-02 08:28:50,BCN,DPS,2026-07-12,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,871.69,471.0,400.69,DXB,"BCN,DXB,DPS"

2025-12-03 08:27:12,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.34,503.0,404.34,DXB,"MAD,DXB,DPS"
2025-12-03 08:27:21,MAD,DPS,2026-07-10,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.34,503.0,404.34,DXB,"MAD,DXB,DPS"
2025-12-03 08:27:29,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,907.34,503.0,404.34,DXB,"MAD,DXB,DPS"
2025-12-03 08:27:35,MAD,DPS,2026-07-12,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,3,882.34,478.0,404.34,DXB,"MAD,DXB,DPS"
2025-12-03 08:27:52,BCN,DPS,2026-07-10,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,896.64,496.0,400.64,DXB,"BCN,DXB,DPS"
2025-12-03 08:27:59,BCN,DPS,2026-07-11,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,896.64,496.0,400.64,DXB,"BCN,DXB,DPS"
2025-12-03 08:28:04,BCN,DPS,2026-07-12,16:15:00,16:35:00,1100,1,EK,EK186,ECONOMY,3,871.64,471.0,400.64,DXB,"BCN,DXB,DPS"
2025-12-04 08:27:34,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.35,641.0,404.35,DXB,"MAD,DXB,DPS"
2025-12-04 08:27:50,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.35,641.0,404.35,DXB,"MAD,DXB,DPS"
2025-12-04 08:28:22,BCN,DPS,2026-07-11,21:25:00,22:20:00,1135,1,EK,EK188,ECONOMY,9,1034.65,634.0,400.65,DXB,"BCN,DXB,DPS"
2025-12-04 08:28:27,BCN,DPS,2026-07-12,21:25:00,22:20:00,1135,1,EK,EK188,ECONOMY,9,1009.65,609.0,400.65,DXB,"BCN,DXB,DPS"
2025-12-05 08:26:09,MAD,DPS,2026-07-08,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.21,641.0,404.21,DXB,"MAD,DXB,DPS"
2025-12-05 08:26:14,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.21,641.0,404.21,DXB,"MAD,DXB,DPS"
2025-12-05 08:26:30,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.21,641.0,404.21,DXB,"MAD,DXB,DPS"
2025-12-05 08:26:36,MAD,DPS,2026-07-12,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1020.21,616.0,404.21,DXB,"MAD,DXB,DPS"
2025-12-05 08:26:53,BCN,DPS,2026-07-11,21:25:00,22:20:00,1135,1,EK,EK188,ECONOMY,9,1034.51,634.0,400.51,DXB,"BCN,DXB,DPS"
2025-12-05 08:26:58,BCN,DPS,2026-07-12,21:25:00,22:20:00,1135,1,EK,EK188,ECONOMY,9,1009.51,609.0,400.51,DXB,"BCN,DXB,DPS"
2025-12-06 08:23:18,MAD,DPS,2026-07-08,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.16,641.0,404.16,DXB,"MAD,DXB,DPS"
2025-12-06 08:23:23,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.16,641.0,404.16,DXB,"MAD,DXB,DPS"
2025-12-06 08:23:34,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.16,641.0,404.16,DXB,"MAD,DXB,DPS"
2025-12-06 08:23:39,MAD,DPS,2026-07-12,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1020.16,616.0,404.16,DXB,"MAD,DXB,DPS"
2025-12-06 08:23:59,BCN,DPS,2026-07-11,21:25:00,22:20:00,1135,1,EK,EK188,ECONOMY,9,1034.46,634.0,400.46,DXB,"BCN,DXB,DPS"
2025-12-06 08:24:04,BCN,DPS,2026-07-12,21:25:00,22:20:00,1135,1,EK,EK188,ECONOMY,9,1009.46,609.0,400.46,DXB,"BCN,DXB,DPS"
2025-12-07 08:22:40,MAD,DPS,2026-07-08,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.16,641.0,404.16,DXB,"MAD,DXB,DPS"
2025-12-07 08:22:45,MAD,DPS,2026-07-09,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.16,641.0,404.16,DXB,"MAD,DXB,DPS"
2025-12-07 08:22:56,MAD,DPS,2026-07-11,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1045.16,641.0,404.16,DXB,"MAD,DXB,DPS"
2025-12-07 08:23:01,MAD,DPS,2026-07-12,22:05:00,22:20:00,1095,1,EK,EK144,ECONOMY,9,1020.16,616.0,404.16,DXB,"MAD,DXB,DPS"
2025-12-07 08:23:21,BCN,DPS,2026-07-11,21:25:00,22:20:00,1135,1,EK,EK188,ECONOMY,9,1034.46,634.0,400.46,DXB,"BCN,DXB,DPS"
2025-12-07 08:23:26,BCN,DPS,2026-07-12,21:25:00,22:20:00,1135,1,EK,EK188,ECONOMY,9,1009.46,609.0,400.46,DXB,"BCN,DXB,DPS"
